Date,TSLA,BND,SPY
2020-10-29,136.94332885742188,73.62165069580078,305.09967041015625
2020-10-30,129.34666442871094,73.49577331542969,301.91912841796875
2020-11-02,133.50332641601562,73.59749603271484,305.3031005859375
2020-11-03,141.3000030517578,73.58068084716797,310.693603515625
2020-11-04,140.32666015625,74.0850830078125,317.63726806640625
2020-11-05,146.02999877929688,74.16071319580078,323.83209228515625
2020-11-06,143.31666564941406,73.99259948730469,323.7581481933594
2020-11-09,140.4199981689453,73.64793395996094,327.82635498046875
2020-11-10,136.7866668701172,73.50501251220703,327.3456115722656
2020-11-11,139.0433349609375,73.55548095703125,329.77728271484375
2020-11-12,137.25332641601562,73.79924011230469,326.5780944824219
2020-11-13,136.1666717529297,73.82447814941406,331.09942626953125
2020-11-16,136.02999877929688,73.86647033691406,335.2324523925781
2020-11-17,147.20333862304688,73.99259948730469,333.429443359375
2020-11-18,162.2133331298828,74.07667541503906,329.4166259765625
2020-11-19,166.42333984375,74.22799682617188,330.8036193847656
2020-11-20,163.20333862304688,74.29522705078125,328.5382995605469
2020-11-23,173.9499969482422,74.23635864257812,330.5076599121094
2020-11-24,185.1266632080078,74.16071319580078,335.8333435058594
2020-11-25,191.3333282470703,74.12706756591797,335.3156433105469
2020-11-26,191.3333282470703,74.12706756591797,335.3156433105469
2020-11-27,195.25332641601562,74.28678894042969,336.24945068359375
2020-11-30,189.1999969482422,74.38768768310547,334.7608642578125
2020-12-01,194.9199981689453,74.16290283203125,338.42230224609375
2020-12-02,189.60667419433594,74.03657531738281,339.13421630859375
2020-12-03,197.7933349609375,74.17973327636719,339.0417175292969
2020-12-04,199.67999267578125,73.98607635498047,341.9634704589844
2020-12-07,213.9199981689453,74.08709716796875,341.26080322265625
2020-12-08,216.6266632080078,74.11235046386719,342.2593994140625
2020-12-09,201.4933319091797,73.98607635498047,339.1896667480469
2020-12-10,209.02333068847656,74.13761901855469,339.0787658691406
2020-12-11,203.3300018310547,74.2554931640625,338.6812744140625
2020-12-14,213.27667236328125,74.23023223876953,337.164794921875
2020-12-15,211.0833282470703,74.26390075683594,341.72308349609375
2020-12-16,207.58999633789062,74.18815612792969,342.2593994140625
2020-12-17,218.63333129882812,74.20497131347656,344.1733093261719
2020-12-18,231.6666717529297,74.17973327636719,342.7990417480469
2020-12-21,216.6199951171875,74.18815612792969,341.5733337402344
2020-12-22,213.44667053222656,74.30601501464844,340.9977111816406
2020-12-23,215.32666015625,74.22240447998047,341.3040771484375
2020-12-24,220.58999633789062,74.34909057617188,342.6319885253906
2020-12-25,220.58999633789062,74.34909057617188,342.6319885253906
2020-12-28,221.22999572753906,74.32374572753906,345.5754089355469
2020-12-29,221.99667358398438,74.34909057617188,344.9161071777344
2020-12-30,231.5933380126953,74.3998031616211,345.4081726074219
2020-12-31,235.22332763671875,74.50115203857422,347.1632385253906
2021-01-01,235.22332763671875,74.50115203857422,347.1632385253906
2021-01-04,243.2566680908203,74.3998031616211,342.43701171875
2021-01-05,245.0366668701172,74.27306365966797,344.7954406738281
2021-01-06,251.9933319091797,73.9435806274414,346.85675048828125
2021-01-07,272.0133361816406,73.79154205322266,352.01019287109375
2021-01-08,293.3399963378906,73.72395324707031,354.0158386230469
2021-01-11,270.39666748046875,73.64793395996094,351.6294250488281
2021-01-12,283.14666748046875,73.63102722167969,351.70379638671875
2021-01-13,284.8033447265625,73.82533264160156,352.6509094238281
2021-01-14,281.6666564941406,73.7323989868164,351.4158935546875
2021-01-15,275.38665771484375,73.79154205322266,348.8531188964844
2021-01-18,275.38665771484375,73.79154205322266,348.8531188964844
2021-01-19,281.51666259765625,73.89292907714844,351.5923156738281
2021-01-20,283.48333740234375,73.88448333740234,356.4578857421875
2021-01-21,281.663330078125,73.78311157226562,356.7829284667969
2021-01-22,282.21331787109375,73.81687927246094,355.5201110839844
2021-01-25,293.6000061035156,73.98585510253906,356.92218017578125
2021-01-26,294.36334228515625,73.9773941040039,356.3650817871094
2021-01-27,288.0533447265625,73.9773941040039,347.65533447265625
2021-01-28,278.4766540527344,73.91825103759766,350.6452331542969
2021-01-29,264.510009765625,73.85912322998047,343.6255187988281
2021-02-01,279.9366760253906,73.8836441040039,349.3453369140625
2021-02-02,290.92999267578125,73.79059600830078,354.28509521484375
2021-02-03,284.89666748046875,73.6636734008789,354.563720703125
2021-02-04,283.3299865722656,73.68060302734375,358.5935974121094
2021-02-05,284.07666015625,73.57905578613281,360.0049743652344
2021-02-08,287.8066711425781,73.6636734008789,362.6047668457031
2021-02-09,283.1533203125,73.62982940673828,362.3634948730469
2021-02-10,268.2733459472656,73.748291015625,362.20556640625
2021-02-11,270.5533447265625,73.67213439941406,362.7904968261719
